filename,total_pixels,valid_pixels,sample_time_iso
3DIMG_18JUN2024_0000_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T00:00:00
3DIMG_18JUN2024_0000_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T06:22:51.852617
3DIMG_18JUN2024_0000_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T00:00:00
3DIMG_18JUN2024_0000_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T00:00:00
3DIMG_18JUN2024_0030_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T00:30:00
3DIMG_18JUN2024_0030_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T06:53:10.212598
3DIMG_18JUN2024_0030_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T00:30:00
3DIMG_18JUN2024_0030_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T00:30:00
3DIMG_18JUN2024_0100_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T01:00:00
3DIMG_18JUN2024_0100_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T07:23:11.338672
3DIMG_18JUN2024_0100_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T01:00:00
3DIMG_18JUN2024_0100_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T01:00:00
3DIMG_18JUN2024_0130_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T01:30:00
3DIMG_18JUN2024_0130_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T01:30:00
3DIMG_18JUN2024_0200_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T02:00:00
3DIMG_18JUN2024_0200_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T02:00:00
3DIMG_18JUN2024_0230_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T02:30:00
3DIMG_18JUN2024_0230_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T02:30:00
3DIMG_18JUN2024_0300_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T03:00:00
3DIMG_18JUN2024_0300_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T03:00:00
3DIMG_18JUN2024_0330_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T03:30:00
3DIMG_18JUN2024_0330_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T03:30:00
3DIMG_18JUN2024_0400_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T04:00:00
3DIMG_18JUN2024_0400_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T10:27:39.415535
3DIMG_18JUN2024_0400_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T04:00:00
3DIMG_18JUN2024_0530_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T05:30:00
3DIMG_18JUN2024_0530_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T12:37:12.910161
3DIMG_18JUN2024_0530_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T05:30:00
3DIMG_18JUN2024_0530_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T05:30:00
3DIMG_18JUN2024_0600_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T06:00:00
3DIMG_18JUN2024_0600_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T12:40:26.302608
3DIMG_18JUN2024_0600_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T06:00:00
3DIMG_18JUN2024_0600_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T06:00:00
3DIMG_18JUN2024_0630_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T06:30:00
3DIMG_18JUN2024_0630_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T06:30:00
3DIMG_18JUN2024_0700_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T07:00:00
3DIMG_18JUN2024_0700_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T07:00:00
3DIMG_18JUN2024_0730_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T07:30:00
3DIMG_18JUN2024_0730_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T07:30:00
3DIMG_18JUN2024_0800_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T08:00:00
3DIMG_18JUN2024_0800_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T08:00:00
3DIMG_18JUN2024_0830_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T08:30:00
3DIMG_18JUN2024_1030_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T10:30:00
3DIMG_18JUN2024_1030_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T10:30:00
3DIMG_18JUN2024_1100_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T11:00:00
3DIMG_18JUN2024_1100_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T11:00:00
3DIMG_18JUN2024_1130_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T11:30:00
3DIMG_18JUN2024_1130_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T11:30:00
3DIMG_18JUN2024_1200_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T12:00:00
3DIMG_18JUN2024_1200_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T12:00:00
3DIMG_18JUN2024_1230_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T12:30:00
3DIMG_18JUN2024_1230_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T18:53:05.669970
3DIMG_18JUN2024_1230_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T12:30:00
3DIMG_18JUN2024_1230_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T12:30:00
3DIMG_18JUN2024_1300_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T13:00:00
3DIMG_18JUN2024_1300_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T19:22:52.062509
3DIMG_18JUN2024_1300_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T13:00:00
3DIMG_18JUN2024_1300_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T13:00:00
3DIMG_18JUN2024_1330_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T13:30:00
3DIMG_18JUN2024_1330_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T19:52:31.885764
3DIMG_18JUN2024_1330_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T13:30:00
3DIMG_18JUN2024_1330_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T13:30:00
3DIMG_18JUN2024_1400_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T14:00:00
3DIMG_18JUN2024_1400_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T14:00:00
3DIMG_18JUN2024_1430_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T14:30:00
3DIMG_18JUN2024_1430_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T14:30:00
3DIMG_18JUN2024_1500_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T15:00:00
3DIMG_18JUN2024_1500_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T21:22:45.000725
3DIMG_18JUN2024_1500_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T15:00:00
3DIMG_18JUN2024_1500_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T15:00:00
3DIMG_18JUN2024_1530_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T15:30:00
3DIMG_18JUN2024_1530_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T21:57:39.228243
3DIMG_18JUN2024_1530_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T15:30:00
3DIMG_18JUN2024_1530_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T15:30:00
3DIMG_18JUN2024_1600_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T16:00:00
3DIMG_18JUN2024_1600_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T22:22:49.497842
3DIMG_18JUN2024_1600_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T16:00:00
3DIMG_18JUN2024_1600_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T16:00:00
3DIMG_18JUN2024_1630_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T16:30:00
3DIMG_18JUN2024_1630_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T22:53:49.048205
3DIMG_18JUN2024_1630_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T16:30:00
3DIMG_18JUN2024_1630_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T16:30:00
3DIMG_18JUN2024_1700_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T17:00:00
3DIMG_18JUN2024_1700_L2B_CTP_V01R00.h5,97656,97656,2024-06-18T23:23:03.502898
3DIMG_18JUN2024_1700_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T17:00:00
3DIMG_18JUN2024_1800_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T18:00:00
3DIMG_18JUN2024_1800_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T00:23:15.731686
3DIMG_18JUN2024_1800_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T18:00:00
3DIMG_18JUN2024_1800_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T18:00:00
3DIMG_18JUN2024_1830_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T18:30:00
3DIMG_18JUN2024_1830_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T18:30:00
3DIMG_18JUN2024_1900_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T19:00:00
3DIMG_18JUN2024_1900_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T01:23:33.809854
3DIMG_18JUN2024_1900_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T19:00:00
3DIMG_18JUN2024_1900_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T19:00:00
3DIMG_18JUN2024_1930_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T19:30:00
3DIMG_18JUN2024_1930_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T01:53:37.957817
3DIMG_18JUN2024_1930_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T19:30:00
3DIMG_18JUN2024_1930_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T19:30:00
3DIMG_18JUN2024_2000_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T20:00:00
3DIMG_18JUN2024_2000_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T02:24:09.766574
3DIMG_18JUN2024_2000_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T20:00:00
3DIMG_18JUN2024_2000_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T20:00:00
3DIMG_18JUN2024_2030_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T20:30:00
3DIMG_18JUN2024_2030_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T05:13:26.415799
3DIMG_18JUN2024_2030_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T20:30:00
3DIMG_18JUN2024_2100_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T21:00:00
3DIMG_18JUN2024_2100_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T21:00:00
3DIMG_18JUN2024_2130_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T21:30:00
3DIMG_18JUN2024_2130_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T05:17:30.480527
3DIMG_18JUN2024_2130_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T21:30:00
3DIMG_18JUN2024_2200_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T22:00:00
3DIMG_18JUN2024_2200_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T05:15:33.207290
3DIMG_18JUN2024_2200_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T22:00:00
3DIMG_18JUN2024_2200_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T22:00:00
3DIMG_18JUN2024_2230_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T22:30:00
3DIMG_18JUN2024_2230_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T05:17:35.671265
3DIMG_18JUN2024_2230_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T22:30:00
3DIMG_18JUN2024_2230_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T22:30:00
3DIMG_18JUN2024_2300_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T23:00:00
3DIMG_18JUN2024_2300_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T05:26:39.324278
3DIMG_18JUN2024_2300_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T23:00:00
3DIMG_18JUN2024_2300_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T23:00:00
3DIMG_18JUN2024_2330_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T23:30:00
